Time (s),PT1w_cal (deg.C),PT1s_cal (deg.C)
0,22.241,22.271
5,22.274,22.271
10,22.308,22.338
15,22.274,22.305
20,22.274,22.305
26,22.308,22.271
31,22.274,22.305
36,22.308,22.305
41,22.308,22.305
46,22.308,22.305
51,22.274,22.305
56,22.308,22.305
61,22.308,22.305
66,22.308,22.305
71,22.308,22.305
76,22.308,22.305
81,22.274,22.305
86,22.308,22.305
91,22.308,22.305
96,22.308,22.305
101,22.342,22.305
106,22.308,22.305
111,22.308,22.271
116,22.308,22.305
121,22.274,22.338
127,22.308,22.271
132,22.308,22.305
137,22.308,22.305
142,22.308,22.305
147,22.342,22.305
152,22.342,22.305
157,22.342,22.271
162,22.342,22.271
167,22.342,22.305
172,22.342,22.305
177,22.376,22.271
182,22.376,22.271
187,22.409,22.305
192,22.376,22.305
197,22.443,22.305
202,22.443,22.305
207,22.477,22.305
212,22.443,22.305
217,22.477,22.305
222,22.477,22.338
228,22.511,22.271
233,22.544,22.305
238,22.578,22.305
243,22.578,22.338
248,22.578,22.305
253,22.578,22.271
258,22.612,22.338
263,22.612,22.305
268,22.612,22.305
273,22.645,22.271
278,22.679,22.305
283,22.679,22.305
288,22.713,22.305
293,22.747,22.305
298,22.747,22.305
303,22.78,22.305
308,22.814,22.305
313,22.814,22.305
318,22.848,22.305
323,22.848,22.305
329,22.848,22.305
334,22.882,22.305
339,22.915,22.305
344,22.949,22.305
349,22.949,22.305
354,22.983,22.305
359,23.017,22.338
364,23.017,22.305
369,23.05,22.338
374,23.084,22.305
379,23.118,22.305
384,23.118,22.305
389,23.152,22.338
394,23.152,22.305
399,23.185,22.338
404,23.219,22.338
409,23.219,22.338
414,23.253,22.305
419,23.253,22.338
425,23.287,22.338
430,23.354,22.338
435,23.354,22.338
440,23.354,22.305
445,23.388,22.305
450,23.388,22.305
455,23.422,22.338
460,23.422,22.338
465,23.455,22.338
470,23.489,22.372
475,23.523,22.372
480,23.557,22.338
485,23.557,22.338
490,23.59,22.372
495,23.59,22.372
500,23.624,22.372
505,23.658,22.372
510,23.692,22.372
515,23.692,22.372
520,23.759,22.372
526,23.759,22.372
531,23.759,22.406
536,23.793,22.372
541,23.827,22.372
546,23.86,22.372
551,23.86,22.406
556,23.894,22.372
561,23.894,22.406
566,23.962,22.406
571,23.962,22.406
576,23.962,22.372
581,23.996,22.372
586,24.029,22.406
591,24.029,22.406
596,24.097,22.406
601,24.097,22.44
606,24.097,22.44
611,24.131,22.44
616,24.164,22.44
622,24.164,22.44
627,24.198,22.473
632,24.232,22.473
637,24.266,22.473
642,24.266,22.473
647,24.299,22.473
652,24.299,22.473
657,24.299,22.473
662,24.333,22.507
667,24.401,22.507
672,24.401,22.507
677,24.401,22.507
682,24.434,22.507
687,24.468,22.507
692,24.468,22.507
697,24.502,22.507
702,24.502,22.541
707,24.502,22.541
712,24.502,22.541
718,24.536,22.541
723,24.536,22.541
728,24.536,22.541
733,24.502,22.574
738,24.502,22.541
743,24.536,22.574
748,24.536,22.574
753,24.536,22.608
758,24.536,22.608
763,24.536,22.608
768,24.536,22.574
773,24.502,22.608
778,24.536,22.642
783,24.536,22.608
788,24.536,22.642
793,24.536,22.642
798,24.536,22.642
803,24.502,22.642
809,24.536,22.642
814,24.502,22.642
819,24.536,22.675
824,24.502,22.675
829,24.468,22.675
834,24.468,22.709
839,24.502,22.709
844,24.502,22.709
849,24.536,22.709
854,24.502,22.709
859,24.502,22.709
864,24.502,22.743
869,24.502,22.743
874,24.468,22.743
879,24.468,22.777
884,24.468,22.777
889,24.468,22.777
894,24.468,22.777
899,24.468,22.777
905,24.468,22.81
910,24.434,22.81
915,24.434,22.777
920,24.434,22.81
925,24.434,22.81
930,24.468,22.81
935,24.468,22.81
940,24.434,22.844
945,24.434,22.844
950,24.434,22.844
955,24.434,22.844
960,24.434,22.844
965,24.434,22.844
970,24.401,22.844
975,24.401,22.911
980,24.434,22.878
985,24.401,22.911
990,24.401,22.911
995,24.401,22.911
1000,24.401,22.911
1006,24.401,22.911
1011,24.434,22.945
1016,24.401,22.945
1021,24.401,22.945
1026,24.401,22.945
1031,24.401,22.945
1036,24.401,22.945
1041,24.401,22.979
1046,24.401,22.945
1051,24.401,22.979
1056,24.367,22.945
1061,24.367,22.979
1066,24.401,22.979
1071,24.367,23.013
1076,24.333,23.013
1081,24.367,23.013
1086,24.367,23.013
1091,24.367,23.046
1096,24.367,23.013
1102,24.367,23.046
1107,24.333,23.046
1112,24.367,23.046
1117,24.333,23.08
1122,24.333,23.013
1127,24.367,23.046
1132,24.367,23.08
1137,24.333,23.08
1142,24.333,23.08
1147,24.333,23.08
1152,24.333,23.08
1157,24.333,23.08
1162,24.333,23.114
1167,24.299,23.114
1172,24.299,23.114
1177,24.333,23.114
1182,24.333,23.114
1187,24.299,23.114
1192,24.333,23.114
1198,24.299,23.114
1203,24.333,23.147
1208,24.299,23.147
1213,24.299,23.114
1218,24.299,23.147
1223,24.299,23.181
1228,24.299,23.147
1233,24.299,23.181
1238,24.299,23.147
1243,24.299,23.181
1248,24.266,23.181
1253,24.299,23.147
1258,24.266,23.181
1263,24.266,23.181
1268,24.266,23.215
1273,24.266,23.215
1278,24.266,23.181
1283,24.266,23.215
1288,24.266,23.215
1294,24.266,23.215
1299,24.266,23.215
1304,24.266,23.215
1309,24.266,23.249
1314,24.266,23.249
1319,24.232,23.249
1324,24.232,23.249
1329,24.266,23.249
1334,24.232,23.249
1339,24.232,23.249
1344,24.266,23.282
1349,24.232,23.249
1354,24.232,23.282
1359,24.232,23.282
1364,24.232,23.249
1369,24.232,23.282
1374,24.232,23.282
1379,24.232,23.316
1384,24.232,23.282
1390,24.232,23.282
1395,24.232,23.316
1400,24.232,23.316
1405,24.232,23.316
1410,24.232,23.316
1415,24.198,23.316
1420,24.198,23.316
1425,24.198,23.316
1430,24.232,23.35
1435,24.198,23.316
1440,24.198,23.35
1445,24.198,23.35
1450,24.198,23.35
1455,24.198,23.316
1460,24.198,23.316
1465,24.198,23.35
1470,24.164,23.35
1475,24.232,23.383
1480,24.232,23.35
1486,24.198,23.35
1491,24.198,23.383
1496,24.198,23.35
1501,24.198,23.383
1506,24.164,23.35
1511,24.198,23.35
1516,24.164,23.383
1521,24.164,23.383
1526,24.164,23.417
1531,24.164,23.383
1536,24.198,23.383
1541,24.164,23.383
1546,24.164,23.417
1551,24.164,23.417
1556,24.164,23.417
1561,24.164,23.417
1566,24.164,23.417
1571,24.164,23.417
1576,24.164,23.417
1582,24.164,23.417
1587,24.164,23.417
1592,24.164,23.451
1597,24.164,23.417
1602,24.164,23.451
1607,24.164,23.451
1612,24.164,23.451
1617,24.164,23.451
1622,24.164,23.417
1627,24.164,23.485
1632,24.164,23.451
1637,24.131,23.451
1642,24.164,23.451
1647,24.131,23.451
1652,24.164,23.451
1657,24.164,23.451
1662,24.164,23.485
1667,24.164,23.485
1672,24.131,23.485
1677,24.131,23.451
1683,24.164,23.485
1688,24.131,23.485
1693,24.131,23.485
1698,24.164,23.485
1703,24.131,23.485
1708,24.131,23.485
1713,24.131,23.485
1718,24.131,23.485
1723,24.131,23.518
1728,24.164,23.485
1733,24.164,23.518
1738,24.097,23.485
1743,24.131,23.485
1748,24.131,23.518
1753,24.131,23.518
1758,24.097,23.518
1763,24.131,23.518
1768,24.131,23.518
