Time (s),PT1w (ohms-Hex),PT1s (ohms-Hex)
0,8283,8292
6,8285,8293
11,8284,8293
16,8284,8293
21,8284,8293
26,8285,8292
31,8284,8293
36,8284,8292
41,8285,8293
46,8285,8293
51,8285,8293
56,8285,8292
61,8284,8293
66,8285,8293
71,8284,8293
76,8285,8293
81,8284,8293
86,8285,8292
91,8284,8292
96,8285,8293
101,8284,8293
107,8284,8293
112,8284,8293
117,8285,8293
122,8285,8293
127,8284,8293
132,8285,8292
137,8284,8292
142,8285,8292
147,8284,8292
152,8285,8293
157,8285,8293
162,8285,8292
167,8284,8292
172,8285,8293
177,8285,8294
182,8286,8293
187,8286,8293
192,8286,8292
197,8286,8292
202,8286,8293
208,8287,8293
213,8287,8292
218,8287,8294
223,8287,8293
228,8287,8292
233,8288,8293
238,8288,8293
243,8289,8292
248,8289,8292
253,8289,8293
258,8289,8293
263,8290,8293
268,8290,8293
273,8291,8293
278,8291,8293
283,8291,8293
288,8291,8292
293,8291,8292
298,8292,8293
303,8292,8293
309,8294,8293
314,8293,8293
319,8293,8293
324,8294,8293
329,8294,8293
334,8294,8293
339,8295,8292
344,8294,8293
349,8295,8293
354,8295,8293
359,8296,8293
364,8296,8293
369,8296,8293
374,8296,8294
379,8297,8293
384,8298,8294
389,8298,8293
394,8298,8294
399,8299,8293
405,8299,8293
410,8299,8294
415,8299,8293
420,8300,8294
425,8300,8293
430,8300,8294
435,8301,8294
440,8301,8294
445,8301,8294
450,8301,8294
455,8302,8294
460,8302,8294
465,8302,8294
470,8302,8294
475,8303,8294
480,8303,8294
485,8303,8295
490,8305,8295
496,8304,8294
501,8304,8295
506,8305,8294
511,8305,8294
516,8306,8295
521,8306,8295
526,8305,8295
531,8305,8296
536,8305,8295
541,8307,8295
546,8308,8295
551,8308,8295
556,8308,8296
561,8308,8295
566,8308,8295
571,8308,8295
576,8308,8296
581,8309,8296
586,8309,8295
592,8309,8296
597,8309,8295
602,8310,8296
607,8310,8297
612,8310,8296
617,8311,8296
622,8311,8296
627,8311,8296
632,8311,8297
637,8311,8297
642,8312,8297
647,8312,8296
652,8312,8297
657,8312,8297
662,8313,8297
667,8313,8297
672,8314,8298
677,8313,8297
682,8313,8298
687,8315,8298
693,8314,8298
698,8314,8298
703,8314,8298
708,8315,8299
713,8315,8298
718,8315,8299
723,8316,8299
728,8316,8299
733,8316,8299
738,8316,8299
743,8316,8299
748,8316,8299
753,8317,8299
758,8317,8299
763,8317,8299
768,8317,8300
773,8317,8300
778,8318,8300
783,8318,8300
789,8318,8301
794,8318,8300
799,8318,8300
804,8319,8300
809,8319,8301
814,8319,8301
819,8319,8301
824,8320,8302
829,8320,8301
834,8320,8301
839,8320,8301
844,8320,8301
849,8321,8302
854,8321,8302
859,8321,8303
864,8321,8302
869,8322,8301
874,8322,8302
879,8322,8302
885,8322,8302
890,8322,8303
895,8322,8303
900,8323,8303
905,8323,8303
910,8323,8303
915,8323,8303
920,8324,8303
925,8323,8304
930,8324,8303
935,8324,8304
940,8324,8303
945,8324,8304
950,8324,8303
955,8324,8304
960,8324,8304
965,8325,8305
970,8325,8304
975,8325,8304
981,8325,8305
986,8326,8304
991,8326,8305
996,8326,8305
1001,8326,8305
1006,8326,8306
1011,8326,8306
1016,8327,8306
1021,8326,8305
1026,8327,8306
1031,8327,8306
1036,8328,8306
1041,8327,8307
1046,8328,8306
1051,8327,8308
1056,8328,8307
1061,8329,8307
1066,8328,8307
1071,8329,8307
1077,8328,8308
1082,8329,8308
1087,8329,8308
1092,8328,8308
1097,8329,8308
1102,8330,8308
1107,8330,8308
1112,8329,8308
