Time (s),PT4w_cal (deg.C),PT4s_cal (deg.C)
0,21.856,22.015
5,21.924,22.082
10,21.89,22.049
15,21.924,22.082
20,21.958,22.082
25,21.924,22.082
30,21.89,22.082
35,21.924,22.082
40,21.958,22.049
45,21.958,22.082
50,21.924,22.049
55,21.958,22.116
60,21.958,22.049
65,21.958,22.082
70,21.924,22.116
75,21.958,22.082
80,21.924,22.082
86,21.924,22.049
91,21.924,22.049
96,21.958,22.082
101,21.958,22.082
106,21.958,22.082
111,21.958,22.049
116,21.958,22.116
121,21.991,22.082
126,21.958,22.082
131,21.958,22.082
136,21.991,22.049
141,21.991,22.082
146,21.991,22.116
151,22.025,22.082
156,22.025,22.082
161,22.025,22.082
166,22.025,22.082
171,22.025,22.082
176,22.059,22.082
182,22.093,22.082
187,22.126,22.082
192,22.126,22.082
197,22.16,22.082
202,22.093,22.116
207,22.16,22.082
212,22.194,22.049
217,22.16,22.082
222,22.228,22.082
227,22.262,22.049
232,22.262,22.082
237,22.228,22.082
242,22.295,22.082
247,22.295,22.082
252,22.329,22.116
257,22.329,22.049
262,22.329,22.116
267,22.329,22.049
273,22.363,22.082
278,22.397,22.082
283,22.43,22.082
288,22.43,22.082
293,22.397,22.082
298,22.464,22.082
303,22.464,22.082
308,22.464,22.082
313,22.464,22.049
318,22.532,22.082
323,22.565,22.049
328,22.565,22.082
333,22.599,22.116
338,22.599,22.082
343,22.599,22.082
348,22.599,22.116
353,22.599,22.082
358,22.633,22.082
364,22.633,22.082
369,22.667,22.082
374,22.701,22.116
379,22.667,22.082
384,22.701,22.049
389,22.734,22.082
394,22.734,22.049
399,22.734,22.049
404,22.768,22.082
409,22.768,22.082
414,22.768,22.082
419,22.802,22.082
424,22.802,22.049
429,22.802,22.049
434,22.802,22.049
439,22.836,22.082
444,22.869,22.049
449,22.869,22.082
455,22.869,22.049
460,22.869,22.082
465,22.903,22.049
470,22.903,22.082
475,22.903,22.082
480,22.903,22.082
485,22.937,22.116
490,22.971,22.082
495,22.971,22.116
500,22.937,22.116
505,23.004,22.082
510,23.004,22.082
515,23.004,22.082
520,22.971,22.049
525,23.004,22.082
530,23.072,22.082
535,23.004,22.116
541,23.038,22.082
546,23.072,22.049
551,23.072,22.082
556,23.106,22.082
561,23.106,22.082
566,23.106,22.082
571,23.106,22.082
576,23.14,22.082
581,23.14,22.082
586,23.173,22.082
591,23.14,22.082
596,23.173,22.082
601,23.173,22.082
606,23.207,22.116
611,23.14,22.082
616,23.207,22.082
621,23.207,22.082
626,23.207,22.082
632,23.241,22.049
637,23.241,22.116
642,23.275,22.082
647,23.275,22.082
652,23.275,22.082
657,23.308,22.082
662,23.308,22.082
667,23.308,22.116
672,23.308,22.049
677,23.308,22.082
682,23.308,22.082
687,23.342,22.049
692,23.308,22.082
697,23.376,22.082
702,23.342,22.049
707,23.376,22.049
712,23.376,22.15
717,23.376,22.082
723,23.376,22.049
728,23.41,22.116
733,23.41,22.082
738,23.41,22.116
743,23.41,22.049
748,23.444,22.116
753,23.444,22.082
758,23.444,22.15
763,23.444,22.082
768,23.477,22.049
773,23.444,22.116
778,23.477,22.049
783,23.477,22.116
788,23.511,22.082
793,23.511,22.082
798,23.511,22.082
803,23.511,22.082
808,23.545,22.049
814,23.545,22.082
819,23.545,22.082
824,23.545,22.049
