Time (s),PT2w_cal (deg.C),PT2s_cal (deg.C)
0,21.182,21.148
5,21.182,21.182
10,21.182,21.182
15,21.182,21.148
20,21.182,21.182
25,21.182,21.182
30,21.149,21.182
35,21.149,21.182
40,21.182,21.148
45,21.182,21.215
50,21.182,21.182
55,21.182,21.148
60,21.182,21.182
65,21.149,21.148
70,21.182,21.182
75,21.182,21.148
81,21.149,21.148
86,21.182,21.182
91,21.182,21.182
96,21.182,21.215
101,21.216,21.148
106,21.149,21.148
111,21.149,21.148
116,21.149,21.148
121,21.182,21.182
126,21.182,21.182
131,21.182,21.148
136,21.182,21.182
141,21.149,21.182
146,21.182,21.182
151,21.182,21.182
156,21.182,21.148
161,21.182,21.182
166,21.182,21.182
172,21.25,21.148
177,21.25,21.148
182,21.182,21.114
187,21.182,21.215
192,21.216,21.182
197,21.182,21.148
202,21.216,21.148
207,21.216,21.148
212,21.25,21.148
217,21.25,21.182
222,21.25,21.148
227,21.284,21.148
232,21.317,21.182
237,21.25,21.182
242,21.284,21.148
247,21.284,21.148
252,21.317,21.182
257,21.317,21.182
263,21.351,21.148
268,21.351,21.148
273,21.351,21.182
278,21.385,21.148
283,21.385,21.148
288,21.385,21.148
293,21.385,21.182
298,21.452,21.148
303,21.419,21.215
308,21.419,21.148
313,21.452,21.148
318,21.452,21.182
323,21.52,21.182
328,21.52,21.182
333,21.52,21.182
338,21.587,21.182
343,21.587,21.182
348,21.587,21.182
354,21.621,21.182
359,21.655,21.148
364,21.655,21.182
369,21.655,21.148
374,21.689,21.182
379,21.689,21.182
384,21.756,21.182
389,21.756,21.148
394,21.79,21.148
399,21.824,21.215
404,21.858,21.215
409,21.858,21.215
414,21.891,21.148
419,21.925,21.182
424,21.959,21.182
429,21.959,21.148
434,21.993,21.182
440,22.026,21.148
445,21.993,21.182
450,22.026,21.215
455,22.094,21.215
460,22.094,21.215
465,22.094,21.215
470,22.128,21.215
475,22.161,21.215
480,22.161,21.215
485,22.195,21.215
490,22.229,21.249
495,22.263,21.182
500,22.297,21.215
505,22.297,21.249
510,22.297,21.215
515,22.297,21.249
520,22.364,21.182
525,22.398,21.215
531,22.398,21.215
536,22.432,21.215
541,22.432,21.249
546,22.499,21.215
551,22.533,21.215
556,22.533,21.215
561,22.533,21.215
566,22.567,21.249
571,22.6,21.215
576,22.634,21.249
581,22.736,21.215
586,22.736,21.249
591,22.837,21.249
596,22.803,21.249
601,22.871,21.283
606,22.871,21.283
611,22.871,21.283
617,22.871,21.249
622,22.938,21.249
627,22.904,21.283
632,22.938,21.283
637,22.938,21.283
642,22.972,21.316
647,23.006,21.283
652,23.006,21.249
657,23.04,21.283
662,23.04,21.316
667,23.073,21.316
672,23.107,21.283
677,23.107,21.283
682,23.141,21.316
687,23.175,21.316
692,23.175,21.316
697,23.141,21.316
703,23.242,21.35
708,23.242,21.316
713,23.276,21.316
718,23.276,21.316
723,23.31,21.316
728,23.31,21.35
733,23.31,21.35
738,23.377,21.35
743,23.344,21.35
748,23.377,21.35
753,23.411,21.384
758,23.445,21.316
763,23.445,21.417
768,23.445,21.35
773,23.479,21.35
778,23.479,21.35
783,23.479,21.35
788,23.479,21.384
794,23.479,21.417
799,23.479,21.384
804,23.512,21.417
809,23.512,21.35
814,23.546,21.384
819,23.512,21.417
824,23.479,21.384
829,23.512,21.417
834,23.479,21.417
839,23.512,21.417
844,23.546,21.417
849,23.512,21.417
854,23.512,21.451
859,23.512,21.417
864,23.546,21.417
869,23.479,21.451
874,23.479,21.451
880,23.479,21.417
885,23.512,21.485
890,23.512,21.417
895,23.479,21.451
900,23.479,21.451
905,23.479,21.485
910,23.479,21.485
915,23.445,21.485
920,23.411,21.485
925,23.445,21.485
930,23.445,21.485
935,23.479,21.485
940,23.445,21.519
945,23.445,21.485
950,23.445,21.552
955,23.445,21.485
960,23.445,21.552
965,23.445,21.519
971,23.411,21.519
976,23.445,21.552
981,23.411,21.519
986,23.411,21.519
991,23.377,21.552
996,23.411,21.552
1001,23.445,21.552
1006,23.377,21.552
1011,23.411,21.552
1016,23.377,21.552
1021,23.377,21.586
1026,23.411,21.586
1031,23.377,21.552
1036,23.377,21.552
1041,23.344,21.552
1046,23.344,21.586
1051,23.344,21.62
1057,23.344,21.62
1062,23.344,21.62
1067,23.344,21.586
1072,23.344,21.62
1077,23.344,21.62
1082,23.344,21.62
1087,23.344,21.586
1092,23.344,21.62
1097,23.31,21.586
1102,23.31,21.62
1107,23.31,21.62
1112,23.31,21.653
1117,23.31,21.687
1122,23.31,21.653
1127,23.344,21.653
1132,23.31,21.62
1137,23.276,21.687
1142,23.276,21.687
1148,23.276,21.653
1153,23.276,21.687
1158,23.242,21.687
1163,23.276,21.653
1168,23.276,21.687
1173,23.242,21.687
1178,23.276,21.653
1183,23.276,21.653
1188,23.242,21.687
1193,23.242,21.721
1198,23.242,21.721
1203,23.242,21.721
1208,23.242,21.687
1213,23.208,21.721
1218,23.276,21.653
1223,23.242,21.687
1229,23.242,21.721
1234,23.208,21.755
1239,23.242,21.687
1244,23.242,21.755
1249,23.242,21.687
1254,23.208,21.721
1259,23.208,21.755
1264,23.208,21.721
1269,23.175,21.755
1274,23.208,21.721
1279,23.175,21.721
1284,23.242,21.755
1289,23.175,21.755
1294,23.175,21.755
1299,23.208,21.755
1304,23.208,21.788
1309,23.208,21.755
1315,23.208,21.788
1320,23.175,21.788
1325,23.175,21.721
1330,23.175,21.755
1335,23.175,21.822
1340,23.175,21.788
1345,23.141,21.788
1350,23.208,21.788
1355,23.175,21.788
1360,23.175,21.822
1365,23.175,21.788
1370,23.175,21.788
1375,23.141,21.788
1380,23.175,21.788
1385,23.141,21.822
1390,23.141,21.822
1395,23.141,21.822
1400,23.141,21.788
1406,23.175,21.822
1411,23.107,21.788
1416,23.141,21.822
1421,23.141,21.788
1426,23.141,21.788
1431,23.141,21.856
1436,23.141,21.822
1441,23.141,21.822
1446,23.141,21.822
1451,23.107,21.822
1456,23.107,21.856
1461,23.073,21.822
1466,23.107,21.822
1471,23.141,21.856
1476,23.073,21.856
1481,23.107,21.822
1486,23.073,21.822
1492,23.107,21.856
1497,23.107,21.889
1502,23.107,21.889
1507,23.107,21.856
1512,23.073,21.822
1517,23.073,21.856
1522,23.073,21.856
1527,23.073,21.856
1532,23.107,21.889
1537,23.073,21.856
1542,23.073,21.889
1547,23.073,21.889
1552,23.073,21.889
1557,23.04,21.889
1562,23.04,21.923
1567,23.04,21.889
1572,23.006,21.889
1577,23.006,21.889
1583,23.04,21.889
1588,23.073,21.923
1593,23.073,21.856
1598,23.04,21.889
1603,23.04,21.923
1608,23.04,21.923
1613,23.04,21.923
1618,23.04,21.923
1623,23.073,21.889
1628,23.04,21.923
1633,23.04,21.889
1638,23.04,21.923
1643,23.006,21.923
1648,23.04,21.923
1653,23.006,21.923
1658,23.04,21.957
1663,23.006,21.889
1669,23.006,21.923
1674,23.04,21.923
1679,23.006,21.957
1684,23.006,21.957
1689,23.006,21.923
1694,23.006,21.957
1699,23.006,21.957
1704,23.006,21.923
1709,22.972,21.957
1714,22.972,21.923
1719,22.972,21.923
1724,22.972,21.957
1729,22.972,21.957
1734,23.006,21.957
1739,23.006,21.957
1744,23.006,21.923
1749,23.006,21.957
1754,23.006,21.957
1760,23.006,21.957
1765,23.006,21.957
1770,23.006,21.991
1775,22.938,21.991
1780,22.972,21.991
1785,22.938,21.957
1790,22.972,21.991
1795,22.972,21.991
1800,22.972,21.991
1805,22.972,22.024
1810,22.972,22.024
1815,22.938,21.991
1820,22.938,21.991
1825,22.972,22.024
1830,22.938,22.024
1835,22.938,22.024
1840,22.972,21.991
1846,22.938,21.991
1851,22.938,22.024
1856,22.972,21.991
1861,22.938,22.058
1866,22.938,21.991
1871,22.938,21.991
1876,22.904,22.024
1881,22.904,22.024
1886,22.972,21.991
1891,22.972,22.024
1896,22.972,22.058
1901,22.938,22.024
1906,22.972,22.024
1911,22.938,22.024
1916,22.904,22.024
1921,22.938,22.058
1926,22.904,22.058
1931,22.938,22.058
1937,22.938,22.024
1942,22.904,22.058
1947,22.938,22.024
1952,22.938,22.058
1957,22.904,22.024
1962,22.904,22.058
1967,22.904,22.058
