Time (s),PT3w (ohms-Hex),PT3s (ohms-Hex)
0,8278,8255
5,8278,8256
10,8280,8255
15,8279,8256
20,8279,8256
25,8279,8255
30,8278,8255
35,8280,8255
40,8279,8256
45,8279,8257
50,8279,8256
55,8280,8256
61,8279,8256
66,8279,8257
71,8279,8255
76,8279,8256
81,8279,8256
86,8279,8256
91,8278,8255
96,8280,8254
101,8280,8255
106,8278,8255
111,8278,8256
116,8279,8257
121,8280,8256
126,8280,8255
131,8279,8256
136,8279,8255
141,8279,8258
146,8279,8256
151,8279,8256
157,8279,8256
162,8280,8254
167,8280,8256
172,8280,8256
177,8280,8256
182,8279,8255
187,8280,8256
192,8280,8255
197,8281,8256
202,8281,8256
207,8282,8255
212,8281,8257
217,8281,8256
222,8281,8256
227,8281,8256
232,8282,8256
237,8281,8256
243,8283,8256
248,8283,8255
253,8284,8255
258,8283,8255
263,8284,8256
268,8285,8255
273,8284,8255
278,8285,8256
283,8286,8255
288,8285,8256
293,8287,8257
298,8287,8256
303,8288,8254
308,8288,8257
313,8288,8257
318,8289,8256
323,8290,8256
328,8290,8255
334,8292,8257
339,8292,8255
344,8292,8256
349,8292,8255
354,8293,8255
359,8293,8255
364,8295,8255
369,8295,8255
374,8296,8255
379,8296,8255
384,8296,8255
389,8298,8255
394,8297,8255
399,8299,8256
404,8299,8255
409,8300,8256
414,8300,8257
419,8301,8256
424,8301,8257
430,8303,8256
435,8303,8256
440,8304,8255
445,8305,8256
450,8305,8256
455,8306,8256
460,8305,8255
465,8307,8256
470,8307,8256
475,8307,8256
480,8309,8256
485,8310,8256
490,8309,8255
495,8311,8255
500,8311,8256
505,8311,8254
510,8312,8255
515,8312,8255
521,8313,8256
526,8314,8256
531,8315,8256
536,8315,8256
541,8316,8256
546,8316,8255
551,8316,8256
556,8317,8255
561,8317,8256
566,8318,8256
571,8319,8257
576,8320,8255
581,8320,8257
586,8321,8257
591,8321,8256
596,8322,8256
601,8322,8255
606,8322,8256
611,8324,8256
617,8324,8257
622,8324,8255
627,8325,8254
632,8326,8255
637,8326,8256
642,8327,8256
647,8326,8255
652,8327,8256
657,8328,8257
662,8329,8255
667,8330,8255
672,8331,8256
677,8332,8255
682,8331,8256
687,8332,8256
692,8333,8255
697,8333,8256
702,8333,8255
708,8335,8256
713,8334,8255
718,8334,8256
723,8335,8256
728,8336,8255
733,8337,8256
738,8337,8256
743,8337,8256
748,8337,8254
753,8338,8255
758,8338,8255
763,8337,8256
768,8337,8256
773,8338,8257
778,8337,8256
783,8338,8255
788,8338,8256
793,8337,8256
798,8338,8257
804,8338,8254
809,8337,8255
814,8337,8257
819,8337,8256
824,8338,8256
829,8337,8255
834,8337,8255
839,8337,8256
844,8336,8258
849,8336,8255
854,8336,8255
859,8336,8256
864,8336,8257
869,8337,8257
874,8335,8257
879,8335,8256
884,8337,8257
889,8336,8257
895,8336,8257
900,8335,8257
905,8336,8257
910,8335,8257
915,8336,8257
920,8336,8256
925,8335,8257
930,8335,8256
935,8335,8258
940,8335,8258
945,8335,8257
950,8335,8256
955,8334,8256
960,8334,8256
965,8334,8257
970,8334,8257
975,8334,8256
980,8333,8257
985,8334,8256
991,8335,8257
996,8333,8258
1001,8335,8257
1006,8333,8256
1011,8334,8257
1016,8333,8257
1021,8333,8257
1026,8334,8256
1031,8333,8258
1036,8334,8258
1041,8333,8257
1046,8333,8256
1051,8334,8257
1056,8333,8257
1061,8333,8257
1066,8333,8257
1071,8332,8258
1076,8332,8257
1082,8332,8258
1087,8333,8257
1092,8332,8259
1097,8332,8258
1102,8333,8257
1107,8331,8259
1112,8333,8258
1117,8332,8259
1122,8332,8258
1127,8331,8259
1132,8333,8258
1137,8332,8258
1142,8331,8257
1147,8331,8257
1152,8331,8257
1157,8331,8258
1162,8332,8258
1167,8331,8259
1172,8331,8258
1178,8332,8257
1183,8331,8258
1188,8331,8258
1193,8331,8258
1198,8331,8259
1203,8331,8259
1208,8330,8259
1213,8332,8257
1218,8331,8260
1223,8331,8257
1228,8331,8259
1233,8331,8258
1238,8331,8258
1243,8330,8258
1248,8329,8261
1253,8330,8260
1258,8329,8259
1263,8330,8261
1269,8329,8259
1274,8330,8259
1279,8330,8259
1284,8330,8259
1289,8330,8261
1294,8330,8259
1299,8330,8259
1304,8329,8259
1309,8330,8259
1314,8329,8259
1319,8330,8260
1324,8329,8260
1329,8329,8260
1334,8329,8261
1339,8329,8259
1344,8329,8261
1349,8329,8260
1354,8330,8260
1360,8329,8259
1365,8328,8260
1370,8328,8260
1375,8329,8260
1380,8330,8259
1385,8329,8261
1390,8328,8261
1395,8328,8259
1400,8328,8261
1405,8328,8261
1410,8328,8260
1415,8328,8260
1420,8329,8259
1425,8328,8261
1430,8328,8261
1435,8328,8260
1440,8328,8259
1445,8327,8261
1451,8328,8261
1456,8328,8261
1461,8328,8262
1466,8328,8261
1471,8327,8261
1476,8328,8261
1481,8328,8261
1486,8328,8261
1491,8328,8262
1496,8328,8260
1501,8326,8261
1506,8328,8261
1511,8328,8262
1516,8327,8263
1521,8328,8262
1526,8328,8262
1531,8327,8262
1536,8327,8262
1542,8327,8261
1547,8326,8263
1552,8328,8262
1557,8327,8261
1562,8327,8262
1567,8327,8262
1572,8327,8263
1577,8327,8263
1582,8326,8263
1587,8326,8262
1592,8326,8262
1597,8326,8263
1602,8327,8263
1607,8327,8263
1612,8326,8263
1617,8326,8263
1622,8326,8264
1627,8326,8263
1632,8326,8262
1638,8326,8262
1643,8327,8262
1648,8326,8263
1653,8326,8264
1658,8326,8263
1663,8327,8263
1668,8326,8263
1673,8326,8264
1678,8326,8264
1683,8325,8265
1688,8325,8263
1693,8326,8263
1698,8326,8264
1703,8325,8264
1708,8325,8263
1713,8325,8263
1718,8325,8263
1723,8325,8265
1729,8325,8264
1734,8325,8263
1739,8326,8264
1744,8325,8264
1749,8325,8263
1754,8326,8263
1759,8324,8264
1764,8325,8265
1769,8325,8264
1774,8326,8264
1779,8324,8264
1784,8325,8264
1789,8324,8265
1794,8325,8264
1799,8325,8265
1804,8325,8265
1809,8325,8265
1814,8325,8265
1819,8325,8266
1825,8324,8264
1830,8325,8264
1835,8325,8265
1840,8324,8265
1845,8324,8265
1850,8325,8264
1855,8324,8265
1860,8325,8264
1865,8324,8264
1870,8324,8265
1875,8324,8267
1880,8324,8265
1885,8324,8265
1890,8325,8267
1895,8323,8265
1900,8325,8267
1905,8323,8267
1910,8324,8266
1916,8324,8265
1921,8324,8267
1926,8323,8265
1931,8323,8265
1936,8324,8267
1941,8323,8266
1946,8324,8266
1951,8324,8267
1956,8323,8266
1961,8324,8267
1966,8323,8266
1971,8324,8266
1976,8324,8265
1981,8323,8267
1986,8324,8266
1991,8324,8268
1996,8324,8266
2001,8323,8267
2007,8323,8266
2012,8323,8266
2017,8323,8266
2022,8324,8267
2027,8323,8267
2032,8322,8267
2037,8323,8267
2042,8322,8267
2047,8324,8267
2052,8322,8268
2057,8324,8267
2062,8322,8266
2067,8322,8267
2072,8323,8268
2077,8323,8267
2082,8323,8268
2087,8323,8265
2092,8323,8267
2097,8322,8267
2103,8322,8267
2108,8323,8269
2113,8322,8267
2118,8322,8267
2123,8323,8267
2128,8323,8267
2133,8322,8267
2138,8322,8269
2143,8322,8268
2148,8322,8268
2153,8322,8268
2158,8322,8268
2163,8322,8269
2168,8322,8268
2173,8322,8268
2178,8322,8269
2183,8321,8268
2188,8322,8268
2194,8323,8268
2199,8322,8269
2204,8321,8268
2209,8320,8269
2214,8322,8267
2219,8322,8267
2224,8322,8269
2229,8322,8267
2234,8321,8268
2239,8321,8269
2244,8322,8268
2249,8322,8268
2254,8321,8270
2259,8320,8268
2264,8322,8269
2269,8321,8268
2274,8321,8269
2279,8321,8270
2284,8321,8269
2290,8321,8269
2295,8321,8268
2300,8321,8268
2305,8321,8269
2310,8321,8269
2315,8321,8268
2320,8322,8269
2325,8322,8269
2330,8321,8270
2335,8322,8269
2340,8321,8268
2345,8322,8270
2350,8321,8269
2355,8321,8269
2360,8321,8270
2365,8320,8270
2370,8321,8269
2375,8320,8270
2381,8321,8270
2386,8321,8270
2391,8321,8269
2396,8321,8270
2401,8321,8270
2406,8321,8271
2411,8320,8270
2416,8321,8270
2421,8320,8269
2426,8320,8270
2431,8321,8271
2436,8319,8270
2441,8320,8270
2446,8320,8270
2451,8320,8270
2456,8320,8270
2461,8320,8269
2466,8320,8269
2472,8320,8269
2477,8320,8271
2482,8320,8270
2487,8320,8271
2492,8320,8269
2497,8320,8270
2502,8321,8270
2507,8319,8270
2512,8319,8270
2517,8320,8271
2522,8320,8270
2527,8320,8270
2532,8319,8270
2537,8320,8271
2542,8321,8272
2547,8319,8272
2552,8320,8271
2557,8319,8271
2562,8319,8271
2568,8319,8273
2573,8320,8270
2578,8319,8272
2583,8319,8271
2588,8319,8270
2593,8320,8271
2598,8319,8271
2603,8320,8271
2608,8321,8270
2613,8319,8271
2618,8320,8272
2623,8320,8270
2628,8318,8272
2633,8320,8272
2638,8319,8272
2643,8320,8273
2648,8320,8272
2654,8319,8272
2659,8319,8272
2664,8319,8271
2669,8319,8270
2674,8319,8271
2679,8319,8271
2684,8319,8273
2689,8320,8272
2694,8319,8272
2699,8319,8272
2704,8319,8272
2709,8318,8273
2714,8320,8273
2719,8319,8272
2724,8318,8272
2729,8319,8271
2734,8319,8272
2739,8319,8272
2744,8319,8273
2750,8318,8273
2755,8318,8272
2760,8319,8273
2765,8319,8273
2770,8318,8273
2775,8319,8272
2780,8318,8273
2785,8318,8272
2790,8318,8272
2795,8317,8272
2800,8318,8273
2805,8318,8272
2810,8319,8272
2815,8318,8273
2820,8318,8272
2825,8319,8272
2830,8318,8273
2835,8318,8272
2841,8319,8273
2846,8318,8273
2851,8318,8273
2856,8317,8272
2861,8318,8272
2866,8318,8272
2871,8317,8274
2876,8318,8274
2881,8318,8273
2886,8318,8273
2891,8318,8275
2896,8318,8274
2901,8318,8272
2906,8317,8273
2911,8318,8273
2916,8317,8274
2921,8318,8274
2926,8318,8273
2931,8318,8272
2937,8317,8274
2942,8318,8272
2947,8318,8273
2952,8318,8274
2957,8318,8274
2962,8318,8275
2967,8317,8273
2972,8318,8272
2977,8318,8273
2982,8318,8272
2987,8318,8274
2992,8317,8273
2997,8318,8274
3002,8318,8273
3007,8317,8274
3012,8317,8275
3017,8318,8273
3022,8318,8273
3028,8318,8274
3033,8318,8274
3038,8317,8274
3043,8318,8274
3048,8317,8275
3053,8318,8274
3058,8318,8275
3063,8317,8274
3068,8317,8274
3073,8318,8274
