Time (s),PT0a_cal (deg.C),PT0b_cal (deg.C)
0.0,23.4,21.74
4.999999912,23.366,21.74
10.00000045,23.366,21.74
15.00000036,23.4,21.77
20.00000027,23.4,21.77
25.00000019,23.4,21.77
31.00000033,23.4,21.77
36.00000024,23.4,21.74
41.00000015,23.434,21.77
46.00000007,23.434,21.77
50.99999998,23.434,21.81
55.99999989,23.4,21.98
61.00000043,23.434,22.18
66.00000034,23.434,22.35
71.00000025,23.434,22.52
76.00000016,23.434,22.79
81.00000008,23.434,23.02
85.99999999,23.467,23.23
90.9999999,23.467,23.39
96.00000044,23.467,23.56
101.0000004,23.467,23.77
106.0000003,23.467,23.93
111.0000002,23.434,24.24
116.0000001,23.467,24.34
122.0000002,23.434,24.64
127.0000001,23.434,24.88
132.0000001,23.434,24.91
137.0,23.467,25.22
141.9999999,23.434,25.42
147.0000004,23.434,25.49
152.0000003,23.434,25.66
157.0000002,23.434,25.69
162.0000002,23.434,25.76
167.0000001,23.434,25.76
172.0,23.434,25.86
176.9999999,23.434,26.03
182.0000004,23.434,26.1
187.0000003,23.4,26.23
192.0000002,23.4,26.23
197.0000002,23.4,26.37
202.0000001,23.4,26.44
207.0,23.434,26.47
211.9999999,23.4,26.57
218.0,23.4,26.6
223.0,23.434,26.67
227.9999999,23.4,26.71
233.0000004,23.366,26.71
238.0000003,23.366,26.74
243.0000002,23.4,26.84
248.0000001,23.4,26.88
253.0,23.4,26.91
258.0,23.434,26.88
262.9999999,23.366,26.84
268.0000004,23.4,26.94
273.0000003,23.4,26.98
278.0000002,23.4,27.01
283.0000001,23.4,27.08
288.0000001,23.434,27.04
293.0,23.4,27.08
297.9999999,23.434,27.08
304.0,23.434,27.11
308.9999999,23.4,27.08
313.9999999,23.4,27.11
319.0000004,23.4,27.11
324.0000003,23.366,27.15
329.0000002,23.4,27.21
334.0000001,23.4,27.18
339.0,23.366,27.21
343.9999999,23.366,27.21
348.9999999,23.434,27.18
354.0000004,23.4,27.25
359.0000003,23.4,27.28
364.0000002,23.4,27.21
369.0000001,23.4,27.21
374.0,23.4,27.28
379.0,23.366,27.28
383.9999999,23.4,27.31
389.0000004,23.4,27.28
394.9999999,23.366,27.28
400.0000005,23.4,27.25
405.0000004,23.4,27.28
410.0000003,23.366,27.31
415.0000002,23.366,27.31
420.0000001,23.366,27.31
425.0,23.366,27.35
429.9999999,23.366,27.35
435.0000005,23.4,27.35
440.0000004,23.366,27.38
445.0000003,23.4,27.31
450.0000002,23.4,27.31
455.0000001,23.366,27.35
460.0,23.4,27.38
464.9999999,23.434,27.35
469.9999999,23.366,27.38
475.0000004,23.366,27.35
480.0000003,23.4,27.38
485.0000002,23.366,27.35
491.0000004,23.4,27.38
496.0000003,23.366,27.35
501.0000002,23.4,27.38
506.0000001,23.4,27.42
511.0,23.4,27.38
515.9999999,23.4,27.35
521.0000005,23.366,27.35
526.0000004,23.332,27.38
531.0000003,23.366,27.35
536.0000002,23.366,27.38
541.0000001,23.4,27.42
546.0,23.366,27.38
550.9999999,23.332,27.38
556.0000005,23.366,27.35
561.0000004,23.366,27.42
566.0000003,23.366,27.38
571.0000002,23.366,27.38
576.0000001,23.366,27.38
582.0000003,23.4,27.38
587.0000002,23.4,27.42
592.0000001,23.4,27.42
597.0,23.366,27.38
601.9999999,23.4,27.42
607.0000004,23.366,27.38
612.0000004,23.4,27.38
617.0000003,23.4,27.38
622.0000002,23.4,27.38
627.0000001,23.4,27.38
632.0,23.4,27.38
636.9999999,23.332,27.38
642.0000005,23.366,27.38
647.0000004,23.4,27.42
652.0000003,23.4,27.45
657.0000002,23.4,27.42
662.0000001,23.4,27.35
667.0,23.4,27.42
673.0000002,23.366,27.42
