Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex)
0.0,8323,8280
4.999999912,8322,8280
10.00000045,8322,8280
15.00000036,8323,8281
20.00000027,8323,8281
25.00000019,8323,8281
31.00000033,8323,8281
36.00000024,8323,8280
41.00000015,8324,8281
46.00000007,8324,8281
50.99999998,8324,8282
55.99999989,8323,8287
61.00000043,8324,8293
66.00000034,8324,8298
71.00000025,8324,8303
76.00000016,8324,8311
81.00000008,8324,8318
85.99999999,8325,8324
90.9999999,8325,8329
96.00000044,8325,8334
101.0000004,8325,8340
106.0000003,8325,8345
111.0000002,8324,8354
116.0000001,8325,8357
122.0000002,8324,8366
127.0000001,8324,8373
132.0000001,8324,8374
137.0,8325,8383
141.9999999,8324,8389
147.0000004,8324,8391
152.0000003,8324,8396
157.0000002,8324,8397
162.0000002,8324,8399
167.0000001,8324,8399
172.0,8324,8402
176.9999999,8324,8407
182.0000004,8324,8409
187.0000003,8323,8413
192.0000002,8323,8413
197.0000002,8323,8417
202.0000001,8323,8419
207.0,8324,8420
211.9999999,8323,8423
218.0,8323,8424
223.0,8324,8426
227.9999999,8323,8427
233.0000004,8322,8427
238.0000003,8322,8428
243.0000002,8323,8431
248.0000001,8323,8432
253.0,8323,8433
258.0,8324,8432
262.9999999,8322,8431
268.0000004,8323,8434
273.0000003,8323,8435
278.0000002,8323,8436
283.0000001,8323,8438
288.0000001,8324,8437
293.0,8323,8438
297.9999999,8324,8438
304.0,8324,8439
308.9999999,8323,8438
313.9999999,8323,8439
319.0000004,8323,8439
324.0000003,8322,8440
329.0000002,8323,8442
334.0000001,8323,8441
339.0,8322,8442
343.9999999,8322,8442
348.9999999,8324,8441
354.0000004,8323,8443
359.0000003,8323,8444
364.0000002,8323,8442
369.0000001,8323,8442
374.0,8323,8444
379.0,8322,8444
383.9999999,8323,8445
389.0000004,8323,8444
394.9999999,8322,8444
400.0000005,8323,8443
405.0000004,8323,8444
410.0000003,8322,8445
415.0000002,8322,8445
420.0000001,8322,8445
425.0,8322,8446
429.9999999,8322,8446
435.0000005,8323,8446
440.0000004,8322,8447
445.0000003,8323,8445
450.0000002,8323,8445
455.0000001,8322,8446
460.0,8323,8447
464.9999999,8324,8446
469.9999999,8322,8447
475.0000004,8322,8446
480.0000003,8323,8447
485.0000002,8322,8446
491.0000004,8323,8447
496.0000003,8322,8446
501.0000002,8323,8447
506.0000001,8323,8448
511.0,8323,8447
515.9999999,8323,8446
521.0000005,8322,8446
526.0000004,8321,8447
531.0000003,8322,8446
536.0000002,8322,8447
541.0000001,8323,8448
546.0,8322,8447
550.9999999,8321,8447
556.0000005,8322,8446
561.0000004,8322,8448
566.0000003,8322,8447
571.0000002,8322,8447
576.0000001,8322,8447
582.0000003,8323,8447
587.0000002,8323,8448
592.0000001,8323,8448
597.0,8322,8447
601.9999999,8323,8448
607.0000004,8322,8447
612.0000004,8323,8447
617.0000003,8323,8447
622.0000002,8323,8447
627.0000001,8323,8447
632.0,8323,8447
636.9999999,8321,8447
642.0000005,8322,8447
647.0000004,8323,8448
652.0000003,8323,8449
657.0000002,8323,8448
662.0000001,8323,8446
667.0,8323,8448
673.0000002,8322,8448
678.0000001,8322,8448
683.0,8322,8449
687.9999999,8323,8450
693.0000004,8322,8448
698.0000003,8323,8447
703.0000003,8322,8448
708.0000002,8322,8448
713.0000001,8323,8448
718.0,8322,8446
722.9999999,8323,8448
728.0000004,8323,8448
733.0000004,8323,8448
738.0000003,8322,8448
743.0000002,8323,8447
