Time (s),PT0a (ohms-Hex),PT0b (ohms-Hex),PT1w (ohms-Hex),PT1s (ohms-Hex),PT2w (ohms-Hex),PT2s (ohms-Hex),PT3w (ohms-Hex),PT3s (ohms-Hex),PT4w (ohms-Hex),PT4s-REF (ohms-Hex)
0,8664,8670,8664,8676,8664,8661,8679,8650,8672.0,8656.0
5,8663,8670,8665,8675,8666,8662,8679,8651,8672.0,8655.0
10,8663,8670,8664,8676,8664,8662,8678,8650,8673.0,8655.0
15,8664,8670,8665,8675,8665,8662,8678,8651,8671.0,8655.0
20,8664,8670,8666,8675,8665,8663,8679,8650,8671.0,8655.0
25,8664,8670,8666,8675,8665,8663,8679,8650,8671.0,8656.0
30,8664,8670,8666,8675,8664,8663,8679,8651,8673.0,8656.0
35,8663,8670,8666,8677,8665,8662,8679,8651,8672.0,8656.0
40,8664,8671,8664,8676,8665,8663,8679,8651,8673.0,8655.0
45,8665,8670,8666,8676,8665,8663,8680,8650,8673.0,8656.0
50,8665,8671,8666,8676,8665,8663,8680,8651,8672.0,8656.0
55,8664,8670,8665,8676,8667,8663,8678,8651,8673.0,8656.0
60,8664,8670,8665,8676,8666,8663,8679,8651,8672.0,8656.0
65,8664,8671,8666,8677,8665,8663,8679,8650,8672.0,8656.0
70,8664,8671,8666,8677,8665,8663,8679,8650,8672.0,8656.0
75,8664,8671,8666,8676,8665,8662,8679,8651,8672.0,8656.0
80,8664,8670,8666,8676,8665,8664,8680,8651,8672.0,8656.0
85,8664,8670,8665,8675,8665,8663,8680,8651,8673.0,8656.0
90,8665,8671,8666,8676,8666,8664,8679,8650,8672.0,8657.0
95,8664,8671,8666,8676,8665,8663,8679,8651,8673.0,8656.0
100,8664,8670,8666,8676,8666,8662,8679,8651,8673.0,8657.0
105,8664,8671,8666,8677,8665,8663,8678,8651,8672.0,8657.0
110,8664,8670,8666,8677,8664,8662,8679,8650,8672.0,8657.0
115,8664,8671,8666,8676,8665,8663,8680,8651,8673.0,8657.0
120,8664,8671,8666,8676,8666,8664,8679,8651,8672.0,8657.0
125,8665,8670,8666,8676,8665,8662,8679,8651,8673.0,8657.0
130,8664,8671,8666,8676,8664,8663,8679,8651,8673.0,8656.0
135,8665,8671,8665,8677,8664,8664,8680,8650,8673.0,8656.0
140,8665,8671,8665,8676,8665,8663,8680,8651,8672.0,8655.0
145,8665,8672,8666,8677,8666,8662,8680,8651,8672.0,8656.0
150,8664,8671,8666,8676,8666,8663,8680,8651,8673.0,8657.0
155,8665,8670,8667,8677,8665,8663,8679,8651,8672.0,8657.0
160,8665,8671,8665,8677,8666,8664,8679,8651,8673.0,8656.0
165,8665,8670,8666,8676,8666,8663,8679,8651,8672.0,8656.0
170,8665,8671,8666,8676,8665,8663,8679,8651,8672.0,8656.0
175,8665,8671,8666,8676,8665,8663,8680,8651,8673.0,8657.0
180,8663,8671,8667,8676,8665,8664,8680,8651,8672.0,8656.0
185,8664,8671,8666,8677,8665,8662,8679,8651,8673.0,8657.0
190,8665,8671,8666,8676,8666,8664,8679,8651,8672.0,8656.0
195,8665,8671,8666,8677,8665,8663,8679,8651,8672.0,8657.0
200,8664,8670,8666,8677,8664,8664,8679,8651,8672.0,8657.0
205,8664,8671,8666,8677,8666,8664,8680,8651,8672.0,8656.0
210,8665,8670,8666,8678,8666,8663,8679,8652,8672.0,8656.0
215,8665,8671,8666,8677,8665,8664,8679,8651,8672.0,8655.0
220,8664,8671,8666,8676,8664,8664,8679,8651,,
225,8665,8672,8666,8677,8666,8662,8679,8651,,
230,8665,8671,8666,8676,8665,8663,8679,8651,,
235,8665,8671,8666,8677,8666,8664,8679,8651,,
240,8665,8671,8666,8677,8666,8663,8679,8651,,
245,8665,8671,8666,8677,8665,8663,8680,8651,,
